@relation InstanceResultListener

@attribute Key_Dataset {win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,win-for-x}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.NeuralNetwork,weka.classifiers.functions.VotedPerceptron}
@attribute Key_Scheme_options {'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \"a, a\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 100','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \"100, 100\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 50','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H \"50, 50\"','-L 0.05 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.15 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.25 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 11 -di 0.2 -dh 0.5 -iw 0','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 11,11 -di 0.2 -dh 0.5 -iw 0','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 50 -di 0.2 -dh 0.5 -iw 0','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 50,50 -di 0.2 -dh 0.5 -iw 0','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100,100 -di 0.2 -dh 0.5 -iw 0','-lr 0.05 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.1 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.15 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.2 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.25 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-lr 0.3 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-I 1 -E 1.0 -S 1 -M 10000'}
@attribute Key_Scheme_version_ID {-5990607817048210779,2378254486583093360,-1072429260104568698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,93,3,0,96.875,3.125,0,0.930233,0.031623,0.149724,6.992237,31.522708,89.126448,13.381911,75.744537,0.928401,0.139395,0.789006,82.79428,0.86244,8887.675984,0.984127,62,0.060606,2,0.939394,31,0.015873,1,0.96875,0.984127,0.976378,0.930484,0.991342,0.99499,0.96875,0.045229,0.954771,0.03125,0.96875,0.96875,0.968633,0.930484,0.991342,0.992698,0.965112,0.96875,5.425,0.003,3.81,0,3810,0,35365,96701,13207,98.958333,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,92,4,0,95.833333,4.166667,0,0.907648,0.047097,0.182533,10.413831,38.430257,89.126448,17.429296,71.697152,0.928401,0.181555,0.746845,79.83805,0.831646,8570.335053,0.968254,61,0.060606,2,0.939394,31,0.031746,2,0.968254,0.968254,0.968254,0.907648,0.99038,0.994616,0.958333,0.050685,0.949315,0.041667,0.958333,0.958333,0.958333,0.907648,0.99038,0.991719,0.953824,0.958333,5.408,0.002,3.73,0,3730,0,35365,96701,13207,98.958333,54.166667,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,93,3,0,96.875,3.125,0,0.930233,0.03808,0.167503,8.419909,35.2659,89.126448,12.021224,77.105224,0.928401,0.125221,0.803179,81.560667,0.84959,8755.251914,0.984127,62,0.060606,2,0.939394,31,0.015873,1,0.96875,0.984127,0.976378,0.930484,0.996152,0.998,0.96875,0.045229,0.954771,0.03125,0.96875,0.96875,0.968633,0.930484,0.996152,0.996404,0.965112,0.96875,5.006,0.003,3.73,0,3730,0,35365,96701,13207,100,53.125,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,94,2,0,97.916667,2.083333,0,0.953824,0.021503,0.111854,4.754694,23.54954,89.126448,5.962842,83.163606,0.928401,0.062113,0.866288,85.096403,0.886421,9134.800783,0.984127,62,0.030303,1,0.969697,32,0.015873,1,0.984127,0.984127,0.984127,0.953824,0.999038,0.999512,0.979167,0.025343,0.974657,0.020833,0.979167,0.979167,0.979167,0.953824,0.999038,0.999057,0.976912,0.979167,5.684,0.002,3.72,0,3720,0,35365,96701,13207,100,52.604167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,96,0,0,100,0,0,1,0.010012,0.033334,2.213726,7.01803,89.126448,1.473655,87.652794,0.928401,0.015351,0.91305,87.652794,0.91305,9409.220344,1,63,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,5.144,0.002,3.73,0,3730,0,35365,96701,13207,100,52.604167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.1629,862,96,94,2,0,97.916667,2.083333,0,0.953148,0.032288,0.149369,7.139203,31.448031,89.126448,11.712503,77.413945,0.928401,0.122005,0.806395,82.85927,0.863117,8894.652422,1,63,0.060606,2,0.939394,31,0,0,0.969231,1,0.984375,0.954196,0.996633,0.998251,0.979167,0.039773,0.960227,0.020833,0.979808,0.979167,0.979004,0.954196,0.996633,0.996834,0.976563,0.979167,5.286,0.002,3.74,0,3740,0,35365,96701,13207,98.958333,53.125,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.163,862,96,92,4,0,95.833333,4.166667,0,0.910112,0.043468,0.150987,9.551218,31.565476,90.042506,9.034254,81.008251,0.937943,0.094107,0.843836,81.11082,0.844904,8716.865662,0.951613,59,0.029412,1,0.970588,33,0.048387,3,0.983333,0.951613,0.967213,0.911033,0.997628,0.998677,0.958333,0.036132,0.963868,0.041667,0.959722,0.958333,0.958587,0.911033,0.997628,0.99781,0.955035,0.958333,4.97,0.002,3.72,0,3720,0,35365,96701,13207,100,55.729167,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.163,862,96,95,1,0,98.958333,1.041667,0,0.977077,0.01807,0.103203,3.970565,21.57576,90.042506,4.712639,85.329866,0.937943,0.04909,0.888853,86.496108,0.901001,9295.615045,1,62,0.029412,1,0.970588,33,0,0,0.984127,1,0.992,0.977334,0.999526,0.999744,0.989583,0.018995,0.981005,0.010417,0.989749,0.989583,0.989547,0.977334,0.999526,0.999537,0.988537,0.989583,5.526,0.002,3.72,0,3720,0,35365,96701,13207,100,52.083333,?
win-for-x-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160420.163,863,95,92,3,0,96.842105,3.157895,0,0.928839,0.034338,0.177614,7.576152,37.303264,88.511196,28.206808,60.304388,0.931697,0.296914,0.634783,81.701032,0.860011,8773.767596,1,62,0.090909,3,0.909091,30,0,0,0.953846,1,0.976378,0.9312,0.978983,0.987884,0.968421,0.05933,0.94067,0.031579,0.969879,0.968421,0.968042,0.9312,0.978983,0.982417,0.964379,0.968421,5.593,0.002,3.73,0,3730,0,35365,96810,13098,96.842105,50.526316,?
